id,project_owner,project_owner_slack_id,project_name,project_id,drive_folder_id,createdAt,updatedAt
1,Andreas,UR5LCHX47,UberPoo Toilettenfreischaltung,1,1BshzYBQoOvUfr_r8JL_n7IbOd5hTnXBq,2026-02-12T09:51:05.643Z,2026-02-12T16:35:43.240Z
2,Ellen,U088C2NUYUT,Automatisation Projectstatus,AP-1,1ZB5-LrN0weT8q6MhPZeyoDpjzJcDsPgb,2026-02-12T09:52:08.856Z,2026-02-18T12:23:18.134Z
3,Ben,Ben,Automatisation Projectstatus,AP-1,1ZB5-LrN0weT8q6MhPZeyoDpjzJcDsPgb,2026-02-12T09:55:42.131Z,2026-02-18T12:23:15.589Z
4,Ellen,U088C2NUYUT,ISO-certification,VS004,147yMSdewu_1BYdcYsT9xVLbaAcn0sNp5,2026-02-12T15:35:38.205Z,2026-02-18T12:22:20.931Z
5,Ellen,U088C2NUYUT,KVNO Einschreibeapp,KVNO-001,1VdXIGtHiYjCw1KRzuV-9v0rGXSnuN_Xm,2026-02-12T16:50:01.882Z,2026-02-18T12:23:50.890Z
6,Ellen,U088C2NUYUT,Invoice Automation,VS005,1f7q9XNI2fbzmlen-oGwthubHhLVzYSxd,2026-02-12T16:50:42.254Z,2026-02-12T16:51:10.451Z
